SITE,DATE,DATE/TM,TIME,SOIL  F,    SOIL C,     CO2%
5,5/19/1997,5/19/1997,10:45:00,52.34,11.30,1.43
5,5/19/1997,5/19/1997,10:45:00,52.34,11.30,0.40
6,5/19/1997,5/19/1997,11:00:00,46.76,8.20,0.48
6,5/19/1997,5/19/1997,11:00:00,46.76,8.20,0.41
11,5/19/1997,5/19/1997,11:15:00,40.10,4.50,0.30
11,5/19/1997,5/19/1997,11:15:00,40.10,4.50,0.31
2,6/6/1997,6/6/1997,14:00:00,54.00,12.00,0.41
2,6/6/1997,6/6/1997,14:00:00,59.00,15.00,0.56
2,6/6/1997,6/6/1997,14:00:00,64.00,17.78,
3,6/6/1997,6/6/1997,14:15:00,62.00,16.67,
3,6/6/1997,6/6/1997,14:15:00,58.00,14.44,0.35
4,6/6/1997,6/6/1997,14:30:00,64.00,17.78,0.32
4,6/6/1997,6/6/1997,14:30:00,64.00,17.78,
4,6/6/1997,6/6/1997,14:30:00,71.00,21.67,
5,6/6/1997,6/6/1997,15:30:00,64.00,17.78,0.42
5,6/6/1997,6/6/1997,15:30:00,69.00,20.56,0.27
5,6/6/1997,6/6/1997,15:30:00,60.00,15.56,
8,6/6/1997,6/6/1997,16:00:00,59.00,15.00,2.48
8,6/6/1997,6/6/1997,16:00:00,59.00,15.00,0.18
10,6/6/1997,6/6/1997,16:20:00,42.00,5.56,0.73
10,6/6/1997,6/6/1997,16:20:00,50.00,10.00,0.96
7,6/6/1997,6/6/1997,17:00:00,66.00,18.89,1.52
7,6/6/1997,6/6/1997,17:00:00,72.00,22.22,1.47
7,6/6/1997,6/6/1997,17:00:00,70.00,21.11,0.46
6,6/6/1997,6/6/1997,17:45:00,50.00,10.00,0.33
6,6/6/1997,6/6/1997,17:45:00,46.00,7.78,0.35
6,6/6/1997,6/6/1997,22:00:00,45.20,7.33,0.43
8,6/6/1997,6/6/1997,22:00:00,45.20,7.33,
8,6/6/1997,6/6/1997,22:20:00,52.80,11.56,3.02
2,6/7/1997,6/7/1997,7:50:00,50.00,10.00,0.47
2,6/7/1997,6/7/1997,7:50:00,50.00,10.00,0.78
2,6/7/1997,6/7/1997,7:50:00,48.00,8.89,
1,6/7/1997,6/7/1997,8:15:00,51.80,11.00,0.43
1,6/7/1997,6/7/1997,8:15:00,51.80,11.00,0.48
1,6/7/1997,6/7/1997,8:15:00,52.50,11.39,0.46
3,6/7/1997,6/7/1997,8:45:00,52.00,11.11,0.64
3,6/7/1997,6/7/1997,8:45:00,51.00,10.56,0.67
4,6/7/1997,6/7/1997,9:30:00,51.90,11.06,0.42
4,6/8/1997,6/8/1997,9:30:00,52.80,11.56,
4,6/7/1997,6/7/1997,9:30:00,52.80,11.56,0.44
5,6/7/1997,6/7/1997,9:55:00,52.10,11.17,0.37
5,6/7/1997,6/7/1997,9:55:00,52.10,11.17,0.23
5,6/7/1997,6/7/1997,9:55:00,53.10,11.72,0.60
6,6/7/1997,6/7/1997,10:10:00,45.10,7.28,
6,6/7/1997,6/7/1997,10:10:00,45.10,7.28,0.55
7,6/7/1997,6/7/1997,10:30:00,52.60,11.44,1.40
7,6/7/1997,6/7/1997,10:30:00,52.30,11.28,1.68
7,6/7/1997,6/7/1997,10:30:00,51.80,11.00,
8,6/7/1997,6/7/1997,10:30:00,50.60,10.33,3.04
8,6/7/1997,6/7/1997,10:30:00,50.70,10.39,0.28
9,6/7/1997,6/7/1997,11:00:00,45.20,7.33,0.85
9,6/7/1997,6/7/1997,11:00:00,46.50,8.06,0.83
10,6/7/1997,6/7/1997,11:30:00,46.20,7.89,0.49
10,6/7/1997,6/7/1997,11:30:00,47.00,8.33,
11,6/7/1997,6/7/1997,12:00:00,51.80,11.00,0.46
11,6/7/1997,6/7/1997,12:00:00,52.00,11.11,0.32
1,6/7/1997,6/7/1997,18:30:00,59.70,15.39,0.45
1,6/7/1997,6/7/1997,18:30:00,59.70,15.39,0.46
2,6/7/1997,6/7/1997,18:40:00,54.30,12.39,0.84
2,6/7/1997,6/7/1997,18:40:00,55.50,13.06,0.76
3,6/7/1997,6/7/1997,18:45:00,56.00,13.33,0.64
3,6/7/1997,6/7/1997,18:45:00,55.90,13.28,0.73
4,6/7/1997,6/7/1997,18:55:00,58.60,14.78,0.51
4,6/7/1997,6/7/1997,18:55:00,58.70,14.83,0.55
4,6/7/1997,6/7/1997,18:55:00,60.80,16.00,0.42
5,6/7/1997,6/7/1997,19:05:00,59.00,15.00,0.48
5,6/7/1997,6/7/1997,19:05:00,59.20,15.11,
5,6/7/1997,6/7/1997,19:05:00,62.70,17.06,0.55
6,6/7/1997,6/7/1997,19:15:00,46.10,7.83,0.41
6,6/7/1997,6/7/1997,19:15:00,46.50,8.06,0.54
7,6/7/1997,6/7/1997,19:20:00,60.40,15.78,2.08
7,6/7/1997,6/7/1997,19:20:00,62.20,16.78,1.83
8,6/7/1997,6/7/1997,19:30:00,52.80,11.56,2.89
8,6/7/1997,6/7/1997,19:30:00,53.50,11.94,0.45
9,6/7/1997,6/7/1997,19:30:00,48.00,8.89,0.48
9,6/7/1997,6/7/1997,19:30:00,48.80,9.33,0.74
10,6/7/1997,6/7/1997,19:35:00,46.70,8.17,0.83
10,6/7/1997,6/7/1997,19:35:00,48.20,9.00,0.78
11,6/7/1997,6/7/1997,19:45:00,52.60,11.44,0.55
11,6/7/1997,6/7/1997,19:45:00,54.50,12.50,0.46
1,6/8/1997,6/8/1997,7:45:00,50.90,10.50,0.42
1,6/8/1997,6/8/1997,7:45:00,51.90,11.06,0.32
2,6/8/1997,6/8/1997,7:55:00,49.50,9.72,0.77
2,6/8/1997,6/8/1997,7:55:00,49.80,9.89,0.73
3,6/8/1997,6/8/1997,8:00:00,52.80,11.56,
3,6/8/1997,6/8/1997,8:00:00,51.70,10.94,0.73
4,6/8/1997,6/8/1997,8:15:00,52.20,11.22,0.53
4,6/8/1997,6/8/1997,8:15:00,52.10,11.17,0.53
4,6/8/1997,6/8/1997,8:15:00,54.10,12.28,0.44
5,6/8/1997,6/8/1997,8:25:00,51.70,10.94,0.43
5,6/8/1997,6/8/1997,8:25:00,53.00,11.67,0.24
5,6/8/1997,6/8/1997,8:25:00,53.40,11.89,0.56
5,6/8/1997,6/8/1997,8:25:00,53.00,11.67,0.22
6,6/8/1997,6/8/1997,8:40:00,44.70,7.06,0.42
6,6/8/1997,6/8/1997,8:40:00,45.10,7.28,0.57
7,6/8/1997,6/8/1997,8:45:00,51.80,11.00,1.76
7,6/8/1997,6/8/1997,8:45:00,52.60,11.44,1.45
8,6/8/1997,6/8/1997,8:55:00,50.60,10.33,3.21
8,6/8/1997,6/8/1997,8:55:00,50.90,10.50,0.76
9,6/8/1997,6/8/1997,9:00:00,45.40,7.44,0.54
9,6/8/1997,6/8/1997,9:00:00,47.30,8.50,0.46
10,6/8/1997,6/8/1997,9:05:00,45.40,7.44,0.88
10,6/8/1997,6/8/1997,9:05:00,45.90,7.72,0.95
11,6/8/1997,6/8/1997,9:05:00,50.70,10.39,0.51
11,6/8/1997,6/8/1997,9:05:00,51.00,10.56,0.38
1,6/8/1997,6/8/1997,12:05:00,52.50,11.39,0.45
1,6/8/1997,6/8/1997,12:05:00,53.00,11.67,0.38
2,6/8/1997,6/8/1997,12:10:00,50.10,10.06,0.74
2,6/8/1997,6/8/1997,12:10:00,50.00,10.00,0.73
3,6/8/1997,6/8/1997,12:15:00,52.40,11.33,0.52
3,6/8/1997,6/8/1997,12:15:00,52.30,11.28,0.71
4,6/8/1997,6/8/1997,12:30:00,53.10,11.72,0.42
4,6/8/1997,6/8/1997,12:30:00,54.10,12.28,0.46
4,6/8/1997,6/8/1997,12:30:00,55.20,12.89,0.46
5,6/8/1997,6/8/1997,12:40:00,53.40,11.89,0.36
